ID	名称	图标	是否DeBuff	表现类型1	特效ID1	绑定点1	表现类型2	特效ID2	绑定点2	表现类型3	特效ID3	绑定点3	buff等级	buff描述	变身typeid
7071	定身	1111406	1	0	0	0	0	0	0	0	0	0	1	定身，无法移动	0
7091	减速	1121407	1	1	500043	thorax	0	0	0	0	0	0	1	减速，移动速度降低30%	0
7101	持续伤害	1112402	1	0	0	0	0	0	0	0	0	0	1	受到持续伤害	0
7111	减速	1111102	1	18	0	2D5AF9	1	500043	thorax	0	0	0	1	减速，移动速度降低50%	0
7121	眩晕	1112407	1	1	500041	head	0	0	0	0	0	0	1	眩晕，无法移动和使用技能	0
9111	眩晕	1112407	1	1	500041	head	0	0	0	0	0	0	1	眩晕，无法移动和使用技能	0
9221	破甲	1112204	1	1	122042	thorax	0	0	0	0	0	0	1	物理防御降低30%	0
9311	冰冻	1111102	1	18	0	2D5AF9	1	500043	thorax	0	0	0	1	减速，移动速度降低30%	0
9321	眩晕	1112407	1	1	500041	head	1	500042	thorax	18	0	E60000	1	眩晕，无法移动和使用技能	0
9421	破防	1111205	1	1	500042	thorax	18	0	E60000	0	0	0	1	法术防御降低5%	0
10001	1.5倍经验	3300301	0	1	0	0	0	0	0	0	0	0	1	从怪物处额外获得原始经验的50%，可以与VIP双倍经验同时有效	0
10002	2倍经验	3300301	0	1	0	0	0	0	0	0	0	0	1	从怪物处额外获得原始经验的100%，可以与VIP双倍经验同时有效	0
10003	篝火盛宴	3310115	0	2	53	8	0	0	0	0	0	0	1	开始享受篝火盛宴	0
10004	鸡血复活	1122406	0	0	0	0	0	0	0	0	0	0	1	打了鸡血，攻击和防御增加10%	0
10005	战鼓声声	3310135	0	0	0	0	0	0	0	0	0	0	1	受到国战战鼓的鼓舞，开始自动增加经验	0
10006	无敌	1122407	0	0	0	0	0	0	0	0	0	0	1	现在是无敌的	0
10007	保护状态	3310125	0	4	60300330	0	0	0	0	0	0	0	1	您当前处于保护状态，无法攻击玩家，也无法被玩家攻击	0
10041	打坐	101	0	1	500057	root	2	44	8	0	0	0	1	持续恢复生命值和法力值	0
10051	打坐	101	0	1	500058	root	2	44	8	0	0	0	1	持续恢复生命值和法力值	0
10061	打坐	101	0	1	0	0	2	44	8	0	0	0	1	持续恢复生命值和法力值	0
10111	真气爆发	1122404	0	0	0	0	0	0	0	0	0	0	1	真气爆发	0
10131	眩晕	1112407	1	1	500041	head	0	0	0	0	0	0	1	眩晕，无法移动和使用技能	0
10301	魔女	4511112	0	0	0	0	0	0	0	0	0	0	1	魔女	0
10302	魔女	4511112	0	0	0	0	0	0	0	0	0	0	1	魔女	0
10303	魔女	4511112	0	0	0	0	0	0	0	0	0	0	1	魔女	0
21201	起式	1121201	0	1	500140	static	0	0	0	0	0	0	1	起式，可以接接式	0
21202	接式	1121202	0	1	500141	static	0	0	0	0	0	0	1	接式，可以接终式	0
31101	聚气	1121104	0	0	0	0	0	0	0	0	0	0	1	聚气	0
50006		0	0	17	60	31500104	0	0	0	0	0	0	1		0
50007		0	0	17	60	31500101	0	0	0	0	0	0	1		0
50008		0	0	17	60	31500102	0	0	0	0	0	0	1		0
50009		0	0	17	60	31500103	0	0	0	0	0	0	1		0
50010		0	0	17	60	31500100	0	0	0	0	0	0	1		0
50010		0	0	17	60	31500100	0	0	0	0	0	0	1		0
51001		4312209	0	0	0	0	0	0	0	0	0	0	1	青龙变身	0
51002		4312301	0	0	0	0	0	0	0	0	0	0	1	白虎变身	0
51003		4312204	0	0	0	0	0	0	0	0	0	0	1	朱雀变身	0
51004		4312303	0	0	0	0	0	0	0	0	0	0	1	玄武变身	0
51005		4312210	0	0	0	0	0	0	0	0	0	0	1	麒麟变身	0
51006	楚江王	4511112	0	0	0	0	0	0	0	0	0	0	1	变身为楚江王	0
51007	宋帝王	4512206	0	0	0	0	0	0	0	0	0	0	1	变身为宋帝王	0
51008	秦广王	4511109	0	0	0	0	0	0	0	0	0	0	1	变身为秦广王	0
51009	毒蛟	4312108	0	0	0	0	0	0	0	0	0	0	1	变身为毒蛟	0
51010	山魈	4311303	0	0	0	0	0	0	0	0	0	0	1	变身为山魈	0
51011	金生水	4312203	0	17	150	31510102	0	0	0	0	0	0	1	克木生水	0
51012	木生火	4311102	0	17	150	31510103	0	0	0	0	0	0	1	克土生火	0
51013	水生木	4312304	0	17	150	31510104	0	0	0	0	0	0	1	克火生木	0
51014	火生土	4312108	0	17	150	31510101	0	0	0	0	0	0	1	克金生土	0
51015	土生金	4311303	0	17	150	31510100	0	0	0	0	0	0	1	克水生金	0
51016	大力神	4316002	0	17	130	0	0	0	0	0	0	0	1	化身大力巨神，从而获得大力神的神威！	0
51017	坦克车	106	0	17	70	0	0	0	0	0	0	0	1	登上无敌战车，让妖怪们在你的车轮底下颤栗吧！	0
51018	天狐	4313302	0	17	60	0	0	0	0	0	0	0	1	变身为狐族的使者！	0														
52001	金色水晶	3310155	0	1	500118	root	0	0	0	0	0	0	1	你携带着金色水晶，可以提交获得奖励	0
52002	紫色水晶	3310156	0	1	500117	root	0	0	0	0	0	0	1	你携带着紫色水晶，可以提交获得奖励	0
52003	蓝色水晶	3310157	0	1	500116	root	0	0	0	0	0	0	1	你携带着蓝色水晶，可以提交获得奖励	0
52004	绿色水晶	3310158	0	1	500115	root	0	0	0	0	0	0	1	你携带着绿色水晶，可以提交获得奖励	0
53001	魔使	1112406	0	17	101	0	1009	500123	thorax	1	500126	thorax	1	你现在是魔使，物理和法术攻击增加2%	0
53002	恶魔	1112406	0	17	105	0	1009	500123	thorax	1	500126	thorax	1	你现在是恶魔，物理和法术攻击增加4%	0
53003	天魔	1112406	0	17	110	0	1009	500123	thorax	1	500126	thorax	1	你现在是天魔，物理和法术攻击增加6%	0
53004	魔神	1112308	0	17	115	0	1009	500124	thorax	1	500127	thorax	1	你现在是魔神，物理和法术攻击增加8%	0
53005	魔帝	1112308	0	17	120	0	1009	500124	thorax	1	500127	thorax	1	你现在是魔帝，物理和法术攻击增加10%	0
53006	魔王	1112303	0	17	125	0	1009	500125	thorax	1	500128	thorax	1	你现在是魔王，物理和法术攻击增加12%	0
111011	冰魄寒气	1111101	1	18	0	2D5AF9	1	500043	thorax	0	0	0	1	减速，移动速度降低12%	0
111012	冰魄寒气	1111101	1	18	0	2D5AF9	1	500043	thorax	0	0	0	2	减速，移动速度降低14%	0
111013	冰魄寒气	1111101	1	18	0	2D5AF9	1	500043	thorax	0	0	0	3	减速，移动速度降低16%	0
111014	冰魄寒气	1111101	1	18	0	2D5AF9	1	500043	thorax	0	0	0	4	减速，移动速度降低18%	0
111015	冰魄寒气	1111101	1	18	0	2D5AF9	1	500043	thorax	0	0	0	5	减速，移动速度降低20%	0
111021	凛风飘雪	1111102	1	18	0	2D5AF9	1	500043	thorax	1	111024	thorax	1	减速，移动速度降低40%	0
111022	凛风飘雪	1111102	1	18	0	2D5AF9	1	500043	thorax	1	111024	thorax	2	减速，移动速度降低40%	0
111023	凛风飘雪	1111102	1	18	0	2D5AF9	1	500043	thorax	1	111024	thorax	3	减速，移动速度降低40%	0
111024	凛风飘雪	1111102	1	18	0	2D5AF9	1	500043	thorax	1	111024	thorax	4	减速，移动速度降低40%	0
111025	凛风飘雪	1111102	1	18	0	2D5AF9	1	500043	thorax	1	111024	thorax	5	减速，移动速度降低40%	0
111041	寒阴凝杀	1111104	1	0	0	0	0	0	0	0	0	0	1	法术防御降低5%	0
111042	寒阴凝杀	1111104	1	0	0	0	0	0	0	0	0	0	2	法术防御降低10%	0
111043	寒阴凝杀	1111104	1	0	0	0	0	0	0	0	0	0	3	法术防御降低15%	0
