NPC类型ID	NPC模型路径	模型缩放比例	脚底选择框	物体缩放比例	特效缩放比例	NPC等级	NPC行为类型	NPC分类	NPC名字	名字颜色	名字显示	NPC称号	称号颜色	Title显示	NPC阵营	备注	备注显示	待机对话	NPC对话半身像	NPC目标小头像	Npc功能标志位	Npc功能类型	门派	职业	地图	采集类型	限制条件1	限制条件2	永久定点刷新	出生脚本	背景图	NPC_FLAGS	包围框高度	死亡脚本	动态障碍	坐骑id	目标头像框样式	走路动作频率修正	出生自带特效技能	死亡播放音效	被击播放音效	进入区域喊话ID	点击喊话ID	
1	"Data\player\1kunlun\male\Actor\Actor.kfm"	1.000000	""	1.000000	1.000000	1	10	0	"羽化男主角"	0	1	""	0	0	0	""	0	""	""	4311114	0	0	0	0	0	0	111	0	1	0	""	0	0	0	0	0	4	1.000000.	0	207021	0	0	0	0	
2	"Data\player\1kunlun\female\Actor\Actor.kfm"	1.000000	""	1.000000	1.000000	1	10	0	"羽化女主角"	0	1	""	0	0	0	""	0	""	""	4311111	0	0	0	0	0	0	111	0	1	0	""	0	0	0	0	0	4	1.000000.	0	207031	0	0	0	0	
3	"Data\player\2xuanyuan\male\Actor\Actor.kfm"	1.000000	""	1.000000	1.000000	1	10	0	"嵩阳男主角"	0	1	""	0	0	0	""	0	""	""	4314015	0	0	0	0	0	0	111	0	1	0	""	0	0	0	0	0	4	1.000000.	0	207022	0	0	0	0	
4	"Data\player\2xuanyuan\female\Actor\Actor.kfm"	1.000000	""	1.000000	1.000000	1	10	0	"嵩阳女主角"	0	1	""	0	0	0	""	0	""	""	4317002	0	0	0	0	0	0	111	0	1	0	""	0	0	0	0	0	4	1.000000.	0	207032	0	0	0	0	
5	"Data\player\3jiuli\male\Actor\Actor.kfm"	1.000000	""	1.000000	1.000000	1	10	0	"天魔男主角"	0	1	""	0	0	0	""	0	""	""	4314015	0	0	0	0	0	0	111	0	1	0	""	0	0	0	0	0	4	1.000000.	0	207023	0	0	0	0	
6	"Data\player\3jiuli\female\Actor\Actor.kfm"	1.000000	""	1.000000	1.000000	1	10	0	"天魔女主角"	0	1	""	0	0	0	""	0	""	""	4317002	0	0	0	0	0	0	111	0	1	0	""	0	0	0	0	0	4	1.000000.	0	207033	0	0	0	0	
11	"Data\player\1kunlun\male1\Actor\Actor.kfm"	1.000000	""	1.000000	1.000000	1	10	0	"剑宗高模男主角"	0	1	""	0	0	0	""	0	""	""	4311114	0	0	0	0	0	0	111	0	1	0	""	0	0	0	0	0	4	1.000000.	0	207021	0	0	0	0	
12	"Data\player\1kunlun\female1\Actor\Actor.kfm"	1.000000	""	1.000000	1.000000	1	10	0	"剑宗高模女主角"	0	1	""	0	0	0	""	0	""	""	4311111	0	0	0	0	0	0	111	0	1	0	""	0	0	0	0	0	4	1.000000.	0	207031	0	0	0	0	
13	"Data\player\2xuanyuan\male1\Actor\Actor.kfm"	1.000000	""	1.000000	1.000000	1	10	0	"武尊高模男主角"	0	1	""	0	0	0	""	0	""	""	4314015	0	0	0	0	0	0	111	0	1	0	""	0	0	0	0	0	4	1.000000.	0	207022	0	0	0	0	
14	"Data\player\2xuanyuan\female1\Actor\Actor.kfm"	1.000000	""	1.000000	1.000000	1	10	0	"武尊高模女主角"	0	1	""	0	0	0	""	0	""	""	4317002	0	0	0	0	0	0	111	0	1	0	""	0	0	0	0	0	4	1.000000.	0	207032	0	0	0	0	
15	"Data\player\3jiuli\male1\Actor\Actor.kfm"	1.000000	""	1.000000	1.000000	1	10	0	"修罗高模男主角"	0	1	""	0	0	0	""	0	""	""	4314015	0	0	0	0	0	0	111	0	1	0	""	0	0	0	0	0	4	1.000000.	0	207023	0	0	0	0	
16	"Data\player\3jiuli\female1\Actor\Actor.kfm"	1.000000	""	1.000000	1.000000	1	10	0	"修罗高模女主角"	0	1	""	0	0	0	""	0	""	""	4317002	0	0	0	0	0	0	111	0	1	0	""	0	0	0	0	0	4	1.000000.	0	207033	0	0	0	0	
21	"Data\player\1kunlun\male2\Actor\Actor.kfm"	1.000000	""	1.000000	1.000000	1	10	0	"琴仙高模男主角"	0	1	""	0	0	0	""	0	""	""	4311114	0	0	0	0	0	0	111	0	1	0	""	0	0	0	0	0	4	1.000000.	0	207021	0	0	0	0	
22	"Data\player\1kunlun\female2\Actor\Actor.kfm"	1.000000	""	1.000000	1.000000	1	10	0	"琴仙高模女主角"	0	1	""	0	0	0	""	0	""	""	4311111	0	0	0	0	0	0	111	0	1	0	""	0	0	0	0	0	4	1.000000.	0	207031	0	0	0	0	
23	"Data\player\2xuanyuan\male2\Actor\Actor.kfm"	1.000000	""	1.000000	1.000000	1	10	0	"金刚高模男主角"	0	1	""	0	0	0	""	0	""	""	4314015	0	0	0	0	0	0	111	0	1	0	""	0	0	0	0	0	4	1.000000.	0	207022	0	0	0	0	
24	"Data\player\2xuanyuan\female2\Actor\Actor.kfm"	1.000000	""	1.000000	1.000000	1	10	0	"金刚高模女主角"	0	1	""	0	0	0	""	0	""	""	4317002	0	0	0	0	0	0	111	0	1	0	""	0	0	0	0	0	4	1.000000.	0	207032	0	0	0	0	
25	"Data\player\3jiuli\male2\Actor\Actor.kfm"	1.000000	""	1.000000	1.000000	1	10	0	"羽神高模男主角"	0	1	""	0	0	0	""	0	""	""	4314015	0	0	0	0	0	0	111	0	1	0	""	0	0	0	0	0	4	1.000000.	0	207023	0	0	0	0	
