Miles	X	nTypeID	¸öÌåid	born_hp	born_speed	µôÂä1	µôÂä2	µôÂä3
0	0	2	200000001	200	0	0		
200	-75	2	200000002	200	0	1000001		
200	75	2	200000003	200	0	0		
400	225	8	200000004	600	0	1000001		
400	-225	2	200000005	200	100	0		
600	150	3	200000006	200	0	0		
600	-150	3	200000007	200	0	0		
800	-225	2	200000008	200	0	0		
800	0	3	200000009	300	0	1000001		
800	225	2	200000010	500	0	0		
1000	-225	2	200000011	300	500	0		
1000	0	3	200000012	300	0	1000001		
1000	225	5	200000013	300	0	1000001		
1200	-225	2	200000014	300	0	0		
1200	0	5	200000015	300	0	0		
1200	225	2	200000016	300	0	0		
1400	-225	6	200000017	300	300	5000001		
1400	0	3	200000018	300	0	0		
1400	225	2	200000019	300	0	0		
1600	-75	3	200000020	300	0	0		
1600	0	2	200000021	300	0	0		
1600	75	6	200000022	500	0	1000001		
1800	-150	2	200000023	300	0	0		
2000	-150	7	200000024	300	0	0		
2000	0	5	200000025	400	1000	5000001		
2200	-230	2	200000026	400	0	0		
2400	-200	8	200000027	400	0	0		
2600	-100	2	200000028	400	0	1000001		
2600	0	9	200000029	400	0	0		
2400	100	2	200000030	400	0	0		
2600	200	2	200000031	400	0	5000001		
2800	230	5	200000032	400	0	0		
2800	0	4	200000033	400	0	0		
2800	-230	2	200000034	400	0	0		
3000	-200	5	200000035	400	1000	1000001		
3200	-100	5	200000036	400	1000	0		
3000	0	9	200000037	400	1000	0		
3200	100	3	200000038	415	0	5000001		
3200	200	5	200000039	430	0	0		
3400	230	7	200000040	445	0	0		
3400	0	2	200000041	460	0	0		
3400	-230	2	200000042	475	0	0		
3600	-200	8	200000043	490	0	5000001		
3800	-100	3	200000044	505	0	0		
3800	0	2	200000045	520	0	0		
3800	100	6	200000046	535	0	1000001		
3800	200	2	200000047	550	0	0		
4000	230	2	200000048	565	0	0		
4000	0	9	200000049	580	0	0		
4000	-230	3	200000050	595	0	5000001		
4200	-200	2	200000051	610	0	0		
4400	-100	5	200000052	625	0	0		
4600	0	3	200000053	640	0	1000001		
4400	100	3	200000054	655	0	0		
4200	200	7	200000055	670	1000	0		
4800	230	3	200000056	685	0	0		
4800	0	3	200000057	700	0	0		
4800	-230	8	200000058	715	0	0		
5000	-225	2	200000059	730	0	5000001		
5000	-75	3	200000060	745	0	0		
5000	75	9	200000061	760	0	0		
5000	-225	9	200000062	775	0	0		
5400	200	4	200000063	790	0	1000001		
5600	230	3	200000064	805	0	0		
5600	0	3	200000065	820	0	0		
5600	-230	6	200000066	835	0	0		
5800	-200	6	200000067	850	0	5000001		
5800	-100	3	200000068	865	0	0		
5800	0	4	200000069	880	0	0		
5800	100	3	200000070	895	0	0		
5800	200	3	200000071	910	0	0		
6000	230	2	200000072	925	0	1000001		
6400	-230	8	200000073	940	400	0		
6600	-200	8	200000074	955	1000	0		
6400	-100	5	200000075	970	0	5000001		
6500	0	5	200000076	985	0	0		
6400	100	5	200000077	1000	0	0		
6600	200	5	200000078	1015	1000	0		
6400	230	9	200000079	1030	400	5000001		
7000	0	100000001	200000080	30000	-1	0		
