nID	nLvl	nFireCD	nMaxLvl	nSoundID	launcher_bullet_1	launcher_xoff_1	launcher_yoff_1	launcher_xdir_1	launcher_ydir_1	launcher_bullet_2	launcher_xoff_2	launcher_yoff_2	launcher_xdir_2	launcher_ydir_2	launcher_bullet_3	launcher_xoff_3	launcher_yoff_3	launcher_xdir_3	launcher_ydir_3	launcher_bullet_4	launcher_xoff_4	launcher_yoff_4	launcher_xdir_4	launcher_ydir_4	launcher_bullet_5	launcher_xoff_5	launcher_yoff_5	launcher_xdir_5	launcher_ydir_5	strName	strModel	strDesc
1	1	150	10	6	1	0	-35	0	-1	0	0	-35	0	-1	0	25	-25	0	-1	0	-40	0	-2	-10	0	40	0	2	-10	加农炮	null	史无前例的加农炮
1	2	150	10	6	2	0	-35	0	-1	0	0	-35	0	-1	0	25	-25	0	-1	0	-40	0	-2	-10	0	40	0	2	-10	加农炮	null	史无前例的加农炮
1	3	150	10	6	1	-25	-25	0	-1	2	0	-35	0	-1	1	25	-25	0	-1	0	-40	0	-2	-10	0	40	0	2	-10	加农炮	null	史无前例的加农炮
1	4	150	10	6	1	-25	-25	0	-1	2	0	-35	0	-1	1	25	-25	0	-1	1	-40	0	-2	-10	1	40	0	2	-10	加农炮	null	史无前例的加农炮
1	5	150	10	6	2	-25	-25	0	-1	2	0	-35	0	-1	2	25	-25	0	-1	1	-40	0	-2	-10	1	40	0	2	-10	加农炮	null	史无前例的加农炮
1	6	150	10	6	2	-25	-25	0	-1	2	0	-35	0	-1	2	25	-25	0	-1	1	-40	0	-2	-10	1	40	0	2	-10	加农炮	null	史无前例的加农炮
1	7	150	10	6	2	-25	-25	0	-1	2	0	-35	0	-1	2	25	-25	0	-1	2	-40	0	-2	-10	2	40	0	2	-10	加农炮	null	史无前例的加农炮
1	8	140	10	6	2	-25	-25	0	-1	2	0	-35	0	-1	2	25	-25	0	-1	1	-40	0	-2	-10	1	40	0	2	-10	加农炮	null	史无前例的加农炮
1	9	120	10	6	2	-25	-25	0	-1	2	0	-35	0	-1	2	25	-25	0	-1	1	-40	0	-2	-10	1	40	0	2	-10	加农炮	null	史无前例的加农炮
1	10	100	10	6	2	-25	-25	0	-1	2	0	-35	0	-1	2	25	-25	0	-1	2	-40	0	-2	-10	2	40	0	2	-10	加农炮	null	史无前例的加农炮
2	1	2000	10	-1	0	-25	-25	0	-1	3	0	35	0	1	0	25	-25	0	-1	0	-40	0	-2	-10	0	40	0	2	-10	加农炮	null	史无前例的加农炮
3	1	2000	10	-1	0	-25	-25	0	-1	4	0	35	0	1	0	25	-25	0	-1	0	-40	0	-2	-10	0	40	0	2	-10	加农炮	null	史无前例的加农炮
100000001	1	2000	1	6	1	-25	25	0	1	2	0	35	0	1	1	25	25	0	1	1	-40	0	-2	10	1	40	0	2	10	加农炮	null	史无前例的加农炮
