类型ID	有效标志位	名称	部位	颜色	门派职业限制	等级限制	表现类型ID	性别限制	有效期限	允许续费	时间限制ID	允许超时	地点限制ID	允许离开	携带数量上限ID	可否存入仓库	使用次数限制ID	变身模板限制ID	可否修复	最大耐久	耐久扣减速度	鉴定方式	鉴定品质系数	绑定方式	出售设置	丢弃设置	金币价格	声望价格	家族价格	荣誉价格	师德价格	强化规则ID	打孔镶嵌摘除规则ID	铭刻规则ID	附魔规则ID	回炉规则ID	分解规则ID	白色属性池ID	白色属性等级	蓝色属性池ID	蓝色属性数下限	蓝色属性数上限	蓝色属性等级	技能激活池ID	所属套装ID	模型路径	模型类别	图标前景ID	图标背景ID	掉落图标ID	装备特效规则ID	描述文本	攻击间隔	掉落特效ID	碎片ID	碎片数量
1100100	1	海心	0	0	11	3	11	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	100	10000	100	100	100	0	0	1	10	1100100	10	1001000	10	2001000	0	0	0	0	0	Data/player/9weapon/001sword.nif	0	2001100	9000000	7001100	11001	""	350	0	0	0
1200100	1	潮韵	0	0	12	3	12	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	100	10000	100	100	100	0	0	1	10	1200100	10	1001000	10	2001000	0	0	0	0	0	Data/player/9weapon/001piano.nif	21	2001200	9000000	7001200	12001	""	350	0	0	0
11000100	1	碧海帽	1	0	10	16	110	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	60	10000	100	100	100	0	0	1	10	11000100	10011	1011000	10	2011000	0	0	0	0	0	Data/player/1kunlun/%s/001hair.nif	1	2011000	9000000	7011000	0	""	-1	0	0	0
21000100	1	依水[攻击]	2	0	10	26	210	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	145	10000	100	100	100	0	0	1	10	21000100	10011	1021000	4	2021000	0	0	0	0	0	0	0	2021000	9000000	7021000	0	""	-1	0	0	0
31000100	1	纳川[物防]	3	0	10	24	310	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	50	10000	100	100	100	0	0	1	10	31000100	10011	1031000	4	2031000	0	0	0	0	0	0	0	2031000	9000000	7031000	0	""	-1	0	0	0
41000100	1	碧海护肩	4	0	10	26	410	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	110	10000	100	100	100	0	0	1	10	41000100	10011	1041000	10	2041000	0	0	0	0	0	Data/player/1kunlun/%s/001sdr.nif	4	2041000	9000000	7041000	0	""	-1	0	0	0
51000100	1	碧海裳	5	0	10	3	510	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	95	10000	100	100	100	0	0	1	10	51000100	10011	1051000	10	2051000	0	0	0	0	0	Data/player/1kunlun/%s/001body.nif	5	2051000	9000000	7051000	510001	""	-1	0	0	0
61000100	1	碧海带	6	0	10	12	610	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	50	10000	100	100	100	0	0	1	10	61000100	10011	1061000	10	2061000	0	0	0	0	0	0	0	2061000	9000000	7061000	0	""	-1	0	0	0
71000100	1	碧海裤	7	0	10	3	710	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	80	10000	100	100	100	0	0	1	10	71000100	10011	1071000	10	2071000	0	0	0	0	0	0	0	2071000	9000000	7071000	0	""	-1	0	0	0
81000100	1	碧海履	8	0	10	22	810	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	105	10000	100	100	100	0	0	1	10	81000100	10011	1081000	10	2081000	0	0	0	0	0	0	0	2081000	9000000	7081000	0	""	-1	0	0	0
91000100	0	碧海护腕	9	0	10	1	910	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	50	10000	100	100	100	0	0	1	10	91000100	10011	1091000	10	2091000	0	0	0	0	0	0	0	2091000	9000000	7091000	0	""	-1	0	0	0
101000100	1	碧海手套	10	0	10	14	1010	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	80	10000	100	100	100	0	0	1	10	101000100	10011	1101000	10	2101000	0	0	0	0	0	0	0	2101000	9000000	7101000	0	""	-1	0	0	0
111000100	1	逆流[攻击]	11	0	10	26	1110	0	-1	0	0	0	0	0	0	0	0	0	1	10000	1	0	1	0	0	0	50	10000	100	100	100	0	0	1	10	111000100	10011	1111000	4	2111000	0	0	0	0	0	0	0	2111000	9000000	7111000	0	""	-1	0	0	0
