名字	名字长度	描述
方丈	2	最伟大的程序员
猫咪	2	宠物
狗	1	宠物
哈士奇	3	宠物
被子	2	一种生活用品
杯子	2	生活用品
呆萌	2	形容词
卖萌	2	人或者动物一种行为
飞机	2	一种交通工具
打飞机	3	一种游戏
手机	2	日用电子产品
低音炮	3	日用数码产品
推倒	2	一种人类行为
搞基	2	人际交往
金刚狼	3	电影角色
哆啦A梦	4	电影角色
电风扇	3	日用电器
书	1	学习用具
钢笔	2	学习用具
剃须刀	3	日用电器
龙泉剑	3	艺术品
荔枝	2	水果
龙眼	2	水果
花生	2	零食
蚊香	2	日用品
空调	2	日用电器
铅笔	2	学习用品
茶叶	2	饮食材料
墨水	2	学习用品
台灯	2	日用电器
创可贴	3	医疗用品
电脑桌	3	家具
笔筒	2	日用品
笔记本	3	学习用品
乒乓球	3	体育器材
头戴式耳机	5	电子产品
麦克风	3	电子产品
运动鞋	3	服装鞋帽
席梦思	3	家具品牌
苍蝇	2	常见昆虫
垃圾篓	3	日常用品
电热水壶	4	日用电器
笔记本电脑	5	日用电子数码产品
鼠标	2	电脑配件
键盘	2	电脑配件
猫砂	2	宠物用品
磨刀石	3	日用品
菜刀	2	日用品
个人电脑	4	日用电子数码产品
搜狗输入法	5	常用软件
赤壁之战	4	经典战役
克隆	2	科技名词
约炮	2	网络社交用词
高富帅	3	特定人物
屌丝	2	称谓
吃货	2	称谓
微信	2	常用社交软件
老王	2	称谓
维生素B	4	常用药物
山地自行车	5	交通工具
镇宅之宝	4	收藏品一种
洗衣机	3	日用大型家电
大蒜	2	一种调料
大便	2	日常产出
毛笔	2	日用品
聊斋志异	4	古典文学
狗皮膏药	4	医疗卫生相关
显卡	2	电脑配件
旱冰鞋	3	体育器材
羽毛球	3	体育器材
蚊子	2	常见昆虫
麻雀	2	常见鸟类
冬天	2	季节
鹅毛大雪	4	自然现象
大象	2	动物
长颈鹿	3	动物
游泳	2	体育运动
貂蝉	2	著名历史人物
吕布	2	著名历史人物
方天画戟	4	古时著名兵器
太阿	2	上古名剑
黄帝轩辕剑	5	上古名剑
吃葡萄不吐葡萄皮	8	个人习惯
大河向东流	5	自然现象
安卓	2	科技名词
苹果电脑	4	著名电子产品
城管	2	职业名词
网管	2	职业
足球	2	体育器材
白雪公主	4	童话人物
七个小矮人	5	童话人物
青蛙	2	一种动物
泡椒鸡爪	4	一种零食
屌丝气质	4	自我陶醉文化
傻逼	2	某些人物的特殊气质
业余爱好	4	个人偏好
落井下石	4	成语
虎头蛇尾	4	成语
画饼充饥	4	成语
泪流满面	4	成语
捧腹大笑	4	成语
画蛇添足	4	成语
一手遮天	4	成语
羊入虎口	4	成语
掩耳盗铃	4	成语
布娃娃	3	儿童玩具
娃哈哈	3	儿童饮料
CD	2	英文缩写，存储设备
人民币	2	货币类型
雷人	2	网络用词
不入虎穴焉得虎子	8	俗语
仙人掌	3	植物
打火机	3	日用品
汉堡	2	食品
色迷迷	3	一种表情
钻戒	2	首饰类
三头六臂	4	成语
愚公移山	4	成语
乌鸦喝水	4	童话故事
如来神掌	4	武功秘籍
跑步	2	运动
火车	2	交通工具
理发师	3	职业
对牛弹琴	4	成语
冰糖葫芦	4	食品
刻舟求剑	4	成语
口红	2	化妆品
七上八下	4	成语
放风筝	3	运动
拿破仑	3	历史人物
外星人	3	生物
原子弹	3	一种武器
山药	3	蔬菜类
凤姐	2	网络名人
钓鱼	2	休闲娱乐
靖国神社	4	岛国神厕
口吃	2	病症
冰雹	2	天气术语
冰刀	2	运动器材组件
僵尸	2	神话人物
齐白石	3	艺术家名字
同流合污	4	成语
山楂	2	水果
牛奶	2	饮品
小苹果	3	网络神曲
疯子	2	一类人员
飞碟	2	交通工具
酒鬼	2	有特殊嗜好的人
手术刀	3	医疗器械
豆沙包	3	视频
射雕英雄传	5	武侠小说
天下贰	3	网络游戏
工资	2	低调又稳定的东西
龇牙咧嘴	4	形容表情的成语
沙漏	2	计时器
丁字裤	3	飞哥最爱
仓库	2	建筑类
甲亢	2	病症
青蛙	2	益虫	
电视购物	4	现代商业模式
美少女	3	人物称谓
美少女战士	5	战斗人员
卫生巾	3	日常用品
龟仙人	3	神话人物
亡羊补牢	4	成语
杞人忧天	4	成语
关东煮	3	一种食品
红红火火	4	俗语
马鞍	2	交通配件
太阳	2	天文物体
尼姑	2	职业
尼姑庵	3	建筑
非主流	3	时尚流派
耳套	2	衣服鞋帽
喜当爹	3	貌似捡便宜
糖衣炮弹	4	武器
节能灯	3	电器
便当	2	食品分类
口香糖	3	零食
求婚	2	男女交往行为
春丽	2	游戏角色
林肯郡发顺丰就	7	乱码，别猜了
黄屿立	3	绝世天才之一
电视机	3	家用电器
飞鸽传书	4	通信方式
奇虎360	5	常见流氓软件
阿里巴巴	4	网络公司
吃大便吧你	5	骂人话
你画我猜	4	你在做的事情	
